metric,correlation
shots_all_situations,0.9097393553451985
toi_all_situations,0.8246672685589194
avg_toi_per_game_all_situations,0.7120222258245592
nst_ixg_all_situations,0.5160932648271788
nst_iscfs_all_situations,0.49873237566316514
nst_iff_all_situations,0.48421362007912266
nst_icf_all_situations,0.4814300021934921
nst_rebounds_created_all_situations,0.46716048902435336
nst_hdcf_all_situations,0.46073388587220954
nst_toi_all_situations,0.41135186051304085
nst_rush_attempts_all_situations,0.40650089900819497
nst_penalties_drawn_all_situations,0.34579204383801987
nst_hits_taken_all_situations,0.2911256146459889
nst_ixg_per_60_all_situations,0.27106544612382427
shooting_pct_all_situations,0.246635153704237
nst_hdcf_per_60_all_situations,0.19156792552780216
nst_iscfs_per_60_all_situations,0.1906265777626857
nst_iff_per_60_all_situations,0.17998242742374537
nst_icf_per_60_all_situations,0.17838659502664175
nst_s_per_60_all_situations,0.11656862616382443
nst_faceoffs_lost_all_situations,0.07752163778293582
fow_pct_all_situations,0.0522068126601755
nst_faceoffs_won_all_situations,0.038427226349188374
