metric,correlation
toi_ev,0.8033781713435697
toi_es,0.8033781713435697
toi_5v5,0.7954853770138065
avg_es_toi_per_game,0.7088172794805413
nst_oi_gf_5v5,0.3655773438707279
nst_oi_xgf_5v5,0.3556772928613537
nst_oi_hdgf_5v5,0.35547070757398047
nst_oi_off_zone_starts_5v5,0.3527724864679483
nst_oi_hdcf_5v5,0.34743633634776844
nst_oi_scf_5v5,0.34675407589628626
nst_oi_sf_5v5,0.34445269430450703
nst_oi_ff_5v5,0.3430792627269265
nst_oi_cf_5v5,0.3417205987800217
nst_oi_xga_5v5,0.3170498386029858
nst_oi_ga_5v5,0.31626483797919364
nst_oi_hdga_5v5,0.30996755121359476
nst_oi_neu_zone_starts_5v5,0.3093212550110543
nst_oi_hdca_5v5,0.3078041268298693
nst_oi_sa_5v5,0.30740073259133255
nst_oi_fa_5v5,0.3067335914518126
nst_oi_sca_5v5,0.30497612991242856
nst_oi_ca_5v5,0.30493951454731677
nst_oi_def_zone_starts_5v5,0.2997664017598632
