metric,correlation
toi_ev,0.8295822840808258
toi_es,0.8295822840808258
toi_5v5,0.8204544089006836
avg_es_toi_per_game,0.7998512637057902
nst_oi_gf_5v5,0.4015340571184608
nst_oi_hdgf_5v5,0.39295115367215516
nst_oi_xgf_5v5,0.3853923295006103
nst_oi_off_zone_starts_5v5,0.38180438714940623
nst_oi_scf_5v5,0.37769986968743674
nst_oi_hdcf_5v5,0.37600388752416614
nst_oi_sf_5v5,0.37314298841745747
nst_oi_ff_5v5,0.37227299633186217
nst_oi_cf_5v5,0.3697095315538572
nst_oi_xga_5v5,0.34237990345488983
nst_oi_ga_5v5,0.3383934720772624
nst_oi_sa_5v5,0.33146443727903374
nst_oi_fa_5v5,0.33010340797559135
nst_oi_sca_5v5,0.3290359973521084
nst_oi_hdca_5v5,0.32846447936883794
nst_oi_ca_5v5,0.3264637374044911
nst_oi_hdga_5v5,0.32596689593474504
nst_oi_neu_zone_starts_5v5,0.31725997250041965
nst_oi_def_zone_starts_5v5,0.2642402351563994
