metric,correlation
p_per_60_5v5,0.5553100798582661
a_per_60_5v5,0.4960220322339011
pp_p_per_60,0.38045787860146246
pp_gf_per_60,0.36406560012464867
pp_s_per_60,0.3507327119962346
g_per_60_5v5,0.32767780181642575
nst_a_per_60_all_situations,0.2503999443417573
nst_p_per_60_all_situations,0.24196530034384064
pp_g_per_60,0.1818268984164433
nst_s_per_60_all_situations,-0.02876902308118056
nst_g_per_60_all_situations,-0.02212723919171763
nst_hdcf_per_60_all_situations,-0.017929303882951643
nst_iff_per_60_all_situations,-0.011378828176214559
nst_icf_per_60_all_situations,-0.007726230072922948
nst_ixg_per_60_all_situations,0.0059882599731997145
sh_g_per_60,0.0036172844742890214
nst_iscfs_per_60_all_situations,-0.00015345377208347307
