metric,correlation
points,0.8961279716900905
assists,0.8879009150403647
points_all_situations,0.8357376505062352
es_goals_for,0.8349200207182593
assists_all_situations,0.8262529157198323
shots_all_situations,0.8237727065387284
toi_all_situations,0.8182777031938776
toi_ev,0.8033781713435696
toi_es,0.8033781713435696
toi_5v5,0.7954853770138063
es_goals_against,0.791480091403268
shifts,0.7892879194688782
goals,0.7868821271909593
avg_toi_per_game_all_situations,0.782555773851518
missed_shots,0.7646039076325765
games_played,0.7504667176064469
takeaways,0.7411028046801741
goals_all_situations,0.7358943267117966
avg_es_toi_per_game,0.708817279480541
blocked_shots,0.6835398709753504
toi_pp,0.6617702244101281
giveaways,0.6243551221431238
pp_points,0.5913685662226363
pp_assists,0.5894204130751443
penalties_drawn,0.5797503344037163
pp_toi_pct_of_team,0.5772478778597006
toi_sh,0.5559489764367348
penalties,0.5396114000742543
avg_toi_per_shift,0.5384208736188603
gw_goals,0.5321852200892191
p_per_60_5v5,0.48529223403579225
pp_goals,0.466827020051228
penalty_minutes,0.4615563898545387
es_gf_pct_neg,-0.43255315220763396
a_per_60_5v5,0.41393423428539633
hits,0.38875706908175384
sh_points,0.37211196626668397
nst_oi_gf_5v5,0.3655773438707278
nst_ixg_all_situations,0.36207508031873625
nst_oi_xgf_5v5,0.35567729286135374
nst_oi_hdgf_5v5,0.3554707075739805
nst_oi_off_zone_starts_5v5,0.3527724864679484
nst_iff_all_situations,0.35038208497767287
nst_iscfs_all_situations,0.34940131521009377
nst_icf_all_situations,0.3478067197323938
nst_oi_hdcf_5v5,0.34743633634776855
nst_oi_scf_5v5,0.34675407589628626
nst_oi_sf_5v5,0.3444526943045068
nst_oi_ff_5v5,0.34307926272692657
nst_oi_cf_5v5,0.3417205987800217
nst_rebounds_created_all_situations,0.3412234131267361
pp_p_per_60,0.32596658741462875
sh_assists,0.32531479055333895
nst_hdcf_all_situations,0.3235493078141933
nst_toi_all_situations,0.31968916877820597
nst_oi_xga_5v5,0.3170498386029858
nst_oi_ga_5v5,0.31626483797919375
nst_oi_hdga_5v5,0.30996755121359465
nst_oi_neu_zone_starts_5v5,0.30932125501105434
nst_oi_hdca_5v5,0.3078041268298693
nst_oi_sa_5v5,0.3074007325913325
nst_oi_fa_5v5,0.3067335914518126
nst_oi_sca_5v5,0.30497612991242856
nst_oi_ca_5v5,0.3049395145473167
nst_rush_attempts_all_situations,0.30427961096773687
nst_oi_def_zone_starts_5v5,0.29976640175986313
shooting_pct_all_situations,0.2828131876860317
pp_s_per_60,0.27792399149357355
g_per_60_5v5,0.2758308359735828
nst_penalties_drawn_all_situations,0.2526249764133425
nst_hits_taken_all_situations,0.23979211891812666
sh_goals,0.23814707217562717
plus_minus,0.2355861882676337
es_gf_pct,0.23243895572320486
pp_shooting_pct,0.22584242015525183
nst_a_per_60_all_situations,0.21533656643703314
nst_p_per_60_all_situations,0.20520780129939836
pp_g_per_60,0.20120673021279994
sh_shooting_pct,0.13401243736164897
es_gf_pct_pos,-0.1291518323908822
nst_ipp_all,0.1221884067230082
nst_oi_mdgf_pct_all_neg,-0.10429000519857137
nst_ixg_per_60_all_situations,0.10400844787964648
nst_g_per_60_all_situations,0.10209136203056451
nst_oi_hdgf_pct_all_neg,-0.08348022661446845
sh_g_per_60,0.0777137707781686
nst_oi_mdgf_pct_all_pos,-0.0770785329272582
nst_oi_hdgf_pct_all_pos,-0.07088492758010467
nst_hdcf_per_60_all_situations,0.070853782414165
fow_pct_all_situations,0.07085297877648868
nst_oi_mdgf_pct_all,0.06720383316110846
nst_faceoffs_lost_all_situations,0.06458551691328136
total_faceoffs,0.06352639291964719
pp_gf_per_60,0.06299803790482407
total_fow,0.06181215418094329
nst_oi_hdgf_pct_all,0.05770523463607202
nst_oi_xgf_pct_all_pos,-0.057210334607867175
nst_oi_hdcf_pct_all_pos,-0.051920124024247
nst_oi_shooting_pct_all,0.04894930277127198
nst_oi_gf_pct_all_pos,-0.048145728437560216
total_fol,0.04652043773293263
nst_oi_gf_pct_all_neg,-0.04559807313723825
nst_faceoffs_won_all_situations,0.03943486898413372
nst_oi_sf_pct_all_pos,-0.03872852712304
nst_oi_gf_pct_all,0.031392756065922435
nst_oi_ff_pct_all_pos,-0.030578960885131328
nst_s_per_60_all_situations,-0.02978404213047819
nst_oi_save_pct_all,-0.02812042608859428
nst_iscfs_per_60_all_situations,0.027702752651542276
nst_oi_ff_pct_all,-0.02230435202026157
nst_oi_cf_pct_all_neg,0.021954832475084375
nst_oi_cf_pct_all,-0.02052208723970761
nst_oi_pdo_all,-0.020187592441066854
nst_oi_sf_pct_all,-0.020046368974985775
nst_oi_ff_pct_all_neg,0.01980767697026497
nst_iff_per_60_all_situations,0.01821414023734268
nst_oi_mdcf_pct_all_pos,-0.017419283328045328
nst_oi_scf_pct_all_neg,0.016904965357510376
nst_oi_mdcf_pct_all,-0.016660383841237948
nst_oi_off_zone_start_pct_all,-0.016426014688696415
nst_oi_sf_pct_all_neg,0.01636677834667261
nst_oi_scf_pct_all,-0.016097227008539158
nst_oi_xgf_pct_all,-0.015332630568182064
nst_oi_mdcf_pct_all_neg,0.015034090431360055
nst_icf_per_60_all_situations,0.013934410105224507
ev_faceoff_pct,0.008818165533287625
nst_oi_xgf_pct_all_neg,0.008029133358853153
nst_oi_hdcf_pct_all_neg,-0.004378728510674528
nst_oi_cf_pct_all_pos,0.004349355743058143
nst_oi_hdcf_pct_all,-0.00297933413782557
nst_oi_scf_pct_all_pos,-0.0004873421719047081
