metric,correlation
points,0.8961279716900905
assists,0.8879009150403647
points_all_situations,0.8357376505062352
es_goals_for,0.8349200207182593
assists_all_situations,0.8262529157198323
shots_all_situations,0.8237727065387284
toi_all_situations,0.8182777031938776
toi_es,0.8033781713435696
toi_ev,0.8033781713435696
toi_5v5,0.7954853770138063
es_goals_against,0.791480091403268
shifts,0.7892879194688782
goals,0.7868821271909593
avg_toi_per_game_all_situations,0.782555773851518
missed_shots,0.7646039076325765
games_played,0.7504667176064469
takeaways,0.7411028046801741
goals_all_situations,0.7358943267117966
avg_es_toi_per_game,0.708817279480541
blocked_shots,0.6835398709753504
toi_pp,0.6617702244101281
giveaways,0.6243551221431238
pp_points,0.5913685662226363
pp_assists,0.5894204130751443
penalties_drawn,0.5797503344037163
toi_sh,0.5559489764367348
penalties,0.5396114000742543
avg_toi_per_shift,0.5384208736188603
gw_goals,0.5321852200892191
pp_goals,0.466827020051228
penalty_minutes,0.4615563898545387
hits,0.38875706908175384
sh_points,0.37211196626668397
nst_oi_gf_5v5,0.3655773438707278
nst_ixg_all_situations,0.36207508031873625
nst_oi_xgf_5v5,0.35567729286135374
nst_oi_hdgf_5v5,0.3554707075739805
nst_oi_off_zone_starts_5v5,0.3527724864679484
nst_iff_all_situations,0.35038208497767287
nst_iscfs_all_situations,0.34940131521009377
nst_icf_all_situations,0.3478067197323938
nst_oi_hdcf_5v5,0.34743633634776855
nst_oi_scf_5v5,0.34675407589628626
nst_oi_sf_5v5,0.3444526943045068
nst_oi_ff_5v5,0.34307926272692657
nst_oi_cf_5v5,0.3417205987800217
nst_rebounds_created_all_situations,0.3412234131267361
sh_assists,0.32531479055333895
nst_hdcf_all_situations,0.3235493078141933
nst_toi_all_situations,0.31968916877820597
nst_oi_xga_5v5,0.3170498386029858
nst_oi_ga_5v5,0.31626483797919375
nst_oi_hdga_5v5,0.30996755121359465
nst_oi_neu_zone_starts_5v5,0.30932125501105434
nst_oi_hdca_5v5,0.3078041268298693
nst_oi_sa_5v5,0.3074007325913325
nst_oi_fa_5v5,0.3067335914518126
nst_oi_sca_5v5,0.30497612991242856
nst_oi_ca_5v5,0.3049395145473167
nst_rush_attempts_all_situations,0.30427961096773687
nst_oi_def_zone_starts_5v5,0.29976640175986313
nst_penalties_drawn_all_situations,0.2526249764133425
nst_hits_taken_all_situations,0.23979211891812666
sh_goals,0.23814707217562717
plus_minus,0.2355861882676337
nst_ipp_all,0.1221884067230082
nst_faceoffs_lost_all_situations,0.06458551691328136
total_faceoffs,0.06352639291964719
total_fow,0.06181215418094329
total_fol,0.04652043773293263
nst_faceoffs_won_all_situations,0.03943486898413372
nst_oi_pdo_all,-0.020187592441066854
