metric,correlation
points,0.9343491324415962
goals,0.8998532735689858
assists,0.8980507770298695
es_goals_for,0.8706317832830194
points_all_situations,0.8624985010689943
avg_toi_per_game_all_situations,0.8459370133301566
toi_all_situations,0.8446549794151031
shots_all_situations,0.8442556542530909
goals_all_situations,0.8306705578376775
toi_es,0.8295822840808257
toi_ev,0.8295822840808257
assists_all_situations,0.8285623946332269
toi_5v5,0.8204544089006838
es_goals_against,0.8180174842483183
shifts,0.8124954822328346
toi_pp,0.803721696926377
missed_shots,0.8029161773825263
avg_es_toi_per_game,0.7998512637057901
takeaways,0.7572878878676844
games_played,0.7426080742461729
pp_points,0.7208114774665042
giveaways,0.7067181242478389
gw_goals,0.6760701113840268
pp_assists,0.6744481103764076
pp_goals,0.6661636858617794
penalties_drawn,0.6518054340608688
blocked_shots,0.5871421501770774
avg_toi_per_shift,0.5782057313649518
penalties,0.5251896603447226
total_fol,0.4486833135573359
total_faceoffs,0.4414109566123096
total_fow,0.42956057638432993
penalty_minutes,0.40813246540309134
nst_oi_gf_5v5,0.4015340571184609
nst_oi_hdgf_5v5,0.3929511536721552
nst_oi_xgf_5v5,0.38539232950061036
nst_oi_off_zone_starts_5v5,0.3818043871494062
nst_oi_scf_5v5,0.3776998696874366
nst_oi_hdcf_5v5,0.37600388752416614
nst_oi_sf_5v5,0.37314298841745747
nst_ixg_all_situations,0.3724364691522519
nst_oi_ff_5v5,0.37227299633186206
nst_iscfs_all_situations,0.3707177760354011
nst_oi_cf_5v5,0.3697095315538572
nst_icf_all_situations,0.36872919754534567
nst_iff_all_situations,0.36872686304607966
nst_rebounds_created_all_situations,0.35832184523524313
nst_hdcf_all_situations,0.34757654007378386
sh_points,0.34352856488798983
nst_oi_xga_5v5,0.34237990345489006
nst_toi_all_situations,0.34237156473303865
nst_oi_ga_5v5,0.33839347207726256
nst_oi_sa_5v5,0.33146443727903374
toi_sh,0.3309913355205884
nst_oi_fa_5v5,0.33010340797559123
nst_oi_sca_5v5,0.3290359973521083
nst_oi_hdca_5v5,0.32846447936883794
nst_oi_ca_5v5,0.3264637374044911
nst_oi_hdga_5v5,0.32596689593474487
nst_oi_neu_zone_starts_5v5,0.3172599725004197
nst_rush_attempts_all_situations,0.30096449881921367
sh_goals,0.2963513894784592
hits,0.2932397491813529
nst_penalties_drawn_all_situations,0.289510620053769
sh_assists,0.2766448124543587
nst_oi_def_zone_starts_5v5,0.26424023515639944
nst_hits_taken_all_situations,0.2578061462604566
nst_faceoffs_lost_all_situations,0.23753490482608872
nst_faceoffs_won_all_situations,0.23014805454753395
plus_minus,0.1674177015849841
nst_ipp_all,0.10847151006864512
nst_oi_pdo_all,-0.01479492846781807
