metric,point_biserial_corr
p_per_60_5v5,0.28918742134134257
a_per_60_5v5,0.22764608712823883
pp_p_per_60,0.2266190017910921
g_per_60_5v5,0.20162991104941408
pp_g_per_60,0.12699058031058572
nst_a_per_60_all_situations,0.12173679858304118
nst_p_per_60_all_situations,0.1205584846616586
pp_s_per_60,0.11765330972568333
nst_ixg_per_60_all_situations,0.06965414475603639
nst_g_per_60_all_situations,0.06711845364151035
pp_gf_per_60,0.049981843637090045
nst_iscfs_per_60_all_situations,0.04190149222128739
nst_hdcf_per_60_all_situations,0.03103174354699574
nst_icf_per_60_all_situations,0.02255452187031925
nst_iff_per_60_all_situations,0.02142706434714248
nst_s_per_60_all_situations,0.009560385040708325
sh_g_per_60,-0.000493543517230062
