metric,point_biserial_corr
is_top5,1.0
toi_pp,0.5873625063333786
shots_all_situations,0.4389051232209944
missed_shots,0.38809620028739517
takeaways,0.3748382663355755
avg_toi_per_game_all_situations,0.3745656797658639
avg_toi_per_shift,0.3624614455477449
es_goals_for,0.3366651493808595
avg_es_toi_per_game,0.3127295946056579
toi_all_situations,0.27869786307901945
penalties_drawn,0.27293407759246385
es_goals_against,0.27008475935665854
toi_ev,0.24692040925355177
toi_es,0.24692040925355177
toi_5v5,0.23325134346807386
giveaways,0.22665417540628358
shifts,0.21925141755228075
nst_ixg_all_situations,0.18195022953131762
games_played,0.17726445060481696
nst_iscfs_all_situations,0.17160923349955634
blocked_shots,0.1569811565204175
nst_oi_off_zone_starts_5v5,0.15231229755144432
nst_icf_all_situations,0.14490615983951072
nst_oi_gf_5v5,0.14376243199980476
plus_minus,0.14223710338152742
nst_iff_all_situations,0.14195920957198516
nst_hdcf_all_situations,0.13953014665602798
penalties,0.13849928392111388
nst_oi_xgf_5v5,0.13388919648572653
nst_oi_hdgf_5v5,0.13380872013628645
nst_rebounds_created_all_situations,0.1325387512948308
nst_oi_scf_5v5,0.12175338907038556
nst_oi_hdcf_5v5,0.12154674325043996
nst_oi_sf_5v5,0.11493176293711328
nst_oi_ff_5v5,0.11243389219852389
nst_oi_cf_5v5,0.11036501677957085
total_fow,0.10265952549640656
penalty_minutes,0.09678424657745198
nst_rush_attempts_all_situations,0.08942390947004304
nst_penalties_drawn_all_situations,0.08067561159236546
nst_toi_all_situations,0.07202786808262672
nst_oi_ga_5v5,0.06458438595015357
nst_oi_xga_5v5,0.06431858062351009
nst_oi_neu_zone_starts_5v5,0.06357051785422602
nst_oi_sa_5v5,0.05341309693223078
nst_oi_hdga_5v5,0.05337092045272733
nst_oi_hdca_5v5,0.052606851002815466
nst_oi_fa_5v5,0.05105817614934685
total_faceoffs,0.05041557590745551
nst_oi_ca_5v5,0.04813075835222757
nst_oi_sca_5v5,0.048000669853921374
toi_sh,0.04258939247378324
nst_ipp_all,0.04155968958668574
nst_oi_def_zone_starts_5v5,0.03362260557772702
nst_oi_pdo_all,-0.03131901976317391
hits,-0.015905716777172216
nst_faceoffs_lost_all_situations,-0.014436501429728783
total_fol,0.008881361834935689
nst_faceoffs_won_all_situations,-0.007628532962958574
nst_hits_taken_all_situations,0.0068690610896551445
