metric,cohens_d
assists,3.361431341533643
points,3.291358130877642
pp_assists,3.2738171749477796
pp_points,3.2362725089295363
assists_all_situations,2.901152210210003
points_all_situations,2.8114865571599434
goals,2.7743753936408306
pp_goals,2.4058515985644457
goals_all_situations,2.357139510205664
toi_pp,2.16006500418651
es_goals_for,2.0867121011820498
gw_goals,2.0307006368575533
pp_toi_pct_of_team,2.025539450563289
shots_all_situations,1.940126743729077
avg_toi_per_game_all_situations,1.8743229833218449
avg_es_toi_per_game,1.709421881433644
missed_shots,1.6980290261289595
giveaways,1.6355176760138226
takeaways,1.6001609945350797
avg_toi_per_shift,1.5608456744875256
es_goals_against,1.4122143544370123
toi_all_situations,1.3859043250971743
p_per_60_5v5,1.3186486953881023
plus_minus,1.2678851288508584
toi_ev,1.2579074618433848
toi_es,1.2579074618433848
a_per_60_5v5,1.200074515448694
penalties_drawn,1.1985965687062285
toi_5v5,1.1800557284609214
shifts,1.106705425227888
pp_p_per_60,1.103036854200842
total_fow,0.975930595631053
total_faceoffs,0.9452005103072508
total_fol,0.8996273777173276
pp_gf_per_60,0.8689858219321424
nst_oi_gf_5v5,0.8396784800069818
nst_oi_hdgf_5v5,0.8341390389478165
games_played,0.7667740161257898
pp_s_per_60,0.7365487140162644
g_per_60_5v5,0.7251647551270963
nst_oi_xgf_5v5,0.720527878812487
nst_oi_hdcf_5v5,0.6802652320921339
nst_oi_scf_5v5,0.6699143196799331
nst_oi_off_zone_starts_5v5,0.6698767999936962
es_gf_pct,0.6327034069674392
nst_a_per_60_all_situations,0.6247545825553614
blocked_shots,0.6197259006430049
nst_oi_sf_5v5,0.6196384482991202
nst_icf_all_situations,0.6150358274725359
nst_rebounds_created_all_situations,0.6141696768426433
pp_shooting_pct,0.6081380865458756
es_gf_pct_neg,-0.606028793039444
nst_oi_ff_5v5,0.603900898850179
nst_iscfs_all_situations,0.592871969648267
nst_iff_all_situations,0.5881366297416895
nst_ixg_all_situations,0.5877962887273127
nst_oi_cf_5v5,0.5876580016888572
sh_goals,0.5672683156009984
nst_oi_scf_pct_all_pos,0.5551580520972839
shooting_pct_all_situations,0.5530791386391537
sh_points,0.5462063853162021
d_zone_fo_pct,0.5319078623679033
nst_p_per_60_all_situations,0.525707490310604
o_zone_fo_pct,0.5211301106965619
penalties,0.5126995097007299
nst_oi_cf_pct_all_pos,0.4742798249271501
n_zone_fo_pct,0.47380509123844994
nst_oi_ff_pct_all_pos,0.4682429753631953
nst_toi_all_situations,0.45171480948068915
nst_oi_xga_5v5,0.4476583625436211
pp_g_per_60,0.4373151419853676
nst_oi_xgf_pct_all_pos,0.43248792153406096
nst_oi_mdcf_pct_all_pos,0.4305462489178419
nst_oi_sf_pct_all_pos,0.42924397590984703
nst_oi_ga_5v5,0.42861067322607554
nst_oi_gf_pct_all_pos,0.4250062436356059
nst_hdcf_all_situations,0.4171831340764261
nst_penalties_drawn_all_situations,0.4136446933794643
nst_rush_attempts_all_situations,0.41065208641604617
sh_shooting_pct,0.40761085936126584
nst_oi_sa_5v5,0.40669903260673457
nst_faceoffs_won_all_situations,0.3976016249484486
nst_oi_hdcf_pct_all_pos,0.39202671040408893
nst_oi_fa_5v5,0.38992967758050945
nst_oi_hdga_5v5,0.3863122532038293
nst_faceoffs_lost_all_situations,0.38385346621689254
nst_oi_sca_5v5,0.3785516145455709
nst_oi_hdca_5v5,0.3727935690071938
nst_oi_ca_5v5,0.36930262745824544
es_gf_pct_pos,0.3547407691600526
nst_oi_neu_zone_starts_5v5,0.35189472358391144
penalty_minutes,0.344436533832
sh_assists,0.32669345098515545
ev_faceoff_pct,0.32179097544669166
fow_pct_all_situations,0.3177090898498251
nst_oi_mdgf_pct_all_pos,0.29923316170438297
nst_oi_hdgf_pct_all_pos,0.2755729763748409
nst_hits_taken_all_situations,0.196631273348013
nst_oi_mdgf_pct_all,0.18647008212694616
nst_oi_def_zone_starts_5v5,0.163992418430142
nst_oi_shooting_pct_all,0.16269525442492036
nst_oi_mdgf_pct_all_neg,-0.128723639962665
nst_oi_gf_pct_all,0.12765414810660697
nst_oi_hdgf_pct_all,0.12667923860276908
toi_sh,0.10610085997980705
nst_ipp_all,0.1035131332198734
nst_oi_off_zone_start_pct_all,0.09552867725219398
nst_oi_save_pct_all,-0.08943955405936009
nst_oi_hdgf_pct_all_neg,-0.06148697076909218
nst_oi_pdo_all,-0.061206796556444405
nst_oi_scf_pct_all,0.05280135883511471
nst_oi_hdcf_pct_all,0.05272424061391997
nst_oi_mdcf_pct_all,0.050486356870033354
nst_oi_xgf_pct_all,0.04203304288306101
nst_oi_gf_pct_all_neg,-0.0410461576418854
nst_oi_cf_pct_all_neg,0.03973219004034005
nst_oi_ff_pct_all_neg,0.03810780506436696
nst_oi_sf_pct_all_neg,0.0363388735858822
hits,-0.03480409304036663
nst_hdcf_per_60_all_situations,-0.02821515268131289
nst_oi_scf_pct_all_neg,0.025714335644235684
nst_oi_xgf_pct_all_neg,0.02399554935856233
nst_s_per_60_all_situations,-0.021937745450175686
nst_oi_ff_pct_all,0.020954002013402917
nst_oi_cf_pct_all,0.02073686000226687
nst_oi_hdcf_pct_all_neg,0.020355171163709704
nst_oi_mdcf_pct_all_neg,0.020326474795231544
nst_oi_sf_pct_all,0.019999745815489772
sh_g_per_60,0.015102943729427689
nst_ixg_per_60_all_situations,0.012891728505544167
nst_g_per_60_all_situations,-0.010468494810408508
nst_iscfs_per_60_all_situations,0.008478462771291622
nst_icf_per_60_all_situations,0.006286808678833876
nst_iff_per_60_all_situations,-0.0040722390680589336
is_top5,
