metric,mean_z_diff
is_top5,4.52435343571868
pp_assists,3.099349649493333
pp_points,3.0896311845098614
points,3.0268613134012505
assists,3.0197627265885307
points_all_situations,2.720761421513313
assists_all_situations,2.696270005977063
toi_pp,2.6574355735417576
goals,2.59126853526918
goals_all_situations,2.3752238465768913
pp_goals,2.3554258872798437
shots_all_situations,1.9857619021994368
gw_goals,1.8870678768124656
missed_shots,1.7558843771596413
takeaways,1.6959007981341954
avg_toi_per_game_all_situations,1.6946675201509895
avg_toi_per_shift,1.6399036864794987
es_goals_for,1.523192125288035
avg_es_toi_per_game,1.4148992158050187
toi_all_situations,1.2609276343490166
penalties_drawn,1.2348502316801733
es_goals_against,1.2219589089305511
toi_ev,1.1171552019553692
toi_es,1.1171552019553692
toi_5v5,1.055311517205778
giveaways,1.0254635972194035
shifts,0.9919709042888526
nst_ixg_all_situations,0.8232071461098195
games_played,0.802007026124688
nst_iscfs_all_situations,0.7764208251847673
blocked_shots,0.7102382348462427
nst_oi_off_zone_starts_5v5,0.6891146667290833
nst_icf_all_situations,0.6556066821266905
nst_oi_gf_5v5,0.6504320531455898
plus_minus,0.6435309273708867
nst_iff_all_situations,0.6422736375589194
nst_hdcf_all_situations,0.6312836984095315
penalties,0.6266197110530687
nst_oi_xgf_5v5,0.6057620461258104
nst_oi_hdgf_5v5,0.6053979426777272
nst_rebounds_created_all_situations,0.5996521547866314
sh_points,0.582801827763703
nst_oi_scf_5v5,0.5508553641509922
nst_oi_hdcf_5v5,0.5499204254255442
nst_oi_sf_5v5,0.5199919165177332
nst_oi_ff_5v5,0.5086906664596155
nst_oi_cf_5v5,0.4993303428498013
sh_assists,0.48679336577652815
total_fow,0.4644679768889163
penalty_minutes,0.4378861385261388
sh_goals,0.41869256539371347
nst_rush_attempts_all_situations,0.4045853720461854
nst_penalties_drawn_all_situations,0.3650049804866245
nst_toi_all_situations,0.325879532427124
nst_oi_ga_5v5,0.29220258846735864
nst_oi_xga_5v5,0.2909999912245269
nst_oi_neu_zone_starts_5v5,0.2876154908641831
nst_oi_sa_5v5,0.24165972861771334
nst_oi_hdga_5v5,0.2414689073177653
nst_oi_hdca_5v5,0.23801198707692892
nst_oi_fa_5v5,0.23100523468282713
total_faceoffs,0.2280978840706321
nst_oi_ca_5v5,0.21776056191464627
nst_oi_sca_5v5,0.21717199557038713
toi_sh,0.19268946416393257
nst_ipp_all,0.1880307243689234
nst_oi_def_zone_starts_5v5,0.15212055106340314
nst_oi_pdo_all,-0.1416983146688571
hits,-0.07196308434836736
nst_faceoffs_lost_all_situations,-0.06531583484335106
total_fol,0.04018241993175211
nst_faceoffs_won_all_situations,-0.034514179320454835
nst_hits_taken_all_situations,0.03107806014114266
