metric,mean_z_diff
is_top5,4.52435343571868
toi_pp,2.6574355735417576
pp_toi_pct_of_team,2.396762982211095
shots_all_situations,1.9857619021994368
missed_shots,1.7558843771596413
takeaways,1.6959007981341954
avg_toi_per_game_all_situations,1.6946675201509895
avg_toi_per_shift,1.6399036864794987
es_goals_for,1.523192125288035
avg_es_toi_per_game,1.4148992158050187
toi_all_situations,1.2609276343490166
penalties_drawn,1.2348502316801733
es_goals_against,1.2219589089305511
toi_es,1.1171552019553692
toi_ev,1.1171552019553692
toi_5v5,1.055311517205778
giveaways,1.0254635972194035
shifts,0.9919709042888526
nst_ixg_all_situations,0.8232071461098195
games_played,0.802007026124688
nst_iscfs_all_situations,0.7764208251847673
blocked_shots,0.7102382348462427
nst_oi_off_zone_starts_5v5,0.6891146667290833
shooting_pct_all_situations,0.6574083330478323
nst_icf_all_situations,0.6556066821266905
nst_oi_gf_5v5,0.6504320531455898
plus_minus,0.6435309273708867
nst_iff_all_situations,0.6422736375589194
nst_hdcf_all_situations,0.6312836984095315
penalties,0.6266197110530687
nst_oi_xgf_5v5,0.6057620461258104
nst_oi_hdgf_5v5,0.6053979426777272
nst_rebounds_created_all_situations,0.5996521547866314
pp_shooting_pct,0.5522643821507226
nst_oi_scf_5v5,0.5508553641509922
nst_oi_hdcf_5v5,0.5499204254255442
pp_s_per_60,0.5323051560810694
nst_oi_sf_5v5,0.5199919165177332
fow_pct_all_situations,0.5170294923345345
nst_oi_ff_5v5,0.5086906664596155
nst_oi_scf_pct_all_pos,0.5027945862138046
nst_oi_cf_5v5,0.4993303428498013
nst_oi_cf_pct_all_pos,0.4827567102362228
total_fow,0.4644679768889163
es_gf_pct_neg,-0.4561300924190497
penalty_minutes,0.4378861385261388
nst_oi_ff_pct_all_pos,0.42163739028833813
es_gf_pct,0.4179037655779791
nst_rush_attempts_all_situations,0.4045853720461854
nst_oi_sf_pct_all_pos,0.4037079420076499
nst_oi_mdcf_pct_all_pos,0.4029079630886836
nst_penalties_drawn_all_situations,0.3650049804866245
nst_oi_xgf_pct_all_pos,0.3388213652053752
nst_toi_all_situations,0.325879532427124
nst_oi_hdcf_pct_all_pos,0.3248802972356821
nst_ixg_per_60_all_situations,0.3151399691390195
nst_oi_ga_5v5,0.29220258846735864
nst_oi_xga_5v5,0.2909999912245269
nst_oi_neu_zone_starts_5v5,0.2876154908641831
nst_oi_sa_5v5,0.24165972861771334
nst_oi_hdga_5v5,0.2414689073177653
nst_oi_gf_pct_all_pos,0.2383920662710561
nst_oi_hdca_5v5,0.23801198707692892
nst_oi_fa_5v5,0.23100523468282713
total_faceoffs,0.2280978840706321
pp_gf_per_60,0.2261355259830222
nst_oi_ca_5v5,0.21776056191464627
nst_oi_sca_5v5,0.21717199557038713
toi_sh,0.19268946416393257
nst_iscfs_per_60_all_situations,0.18957716029312113
nst_ipp_all,0.1880307243689234
nst_oi_hdgf_pct_all_pos,0.1836101689192718
es_gf_pct_pos,0.17392880853781215
nst_oi_save_pct_all,-0.1554295425357816
nst_oi_def_zone_starts_5v5,0.15212055106340314
nst_oi_pdo_all,-0.1416983146688571
nst_hdcf_per_60_all_situations,0.1403985755331912
nst_oi_mdgf_pct_all_pos,0.11322044244454026
nst_oi_cf_pct_all_neg,0.11118837503713816
nst_oi_ff_pct_all_neg,0.1110373824463087
nst_oi_sf_pct_all_neg,0.10917766312449291
nst_icf_per_60_all_situations,0.10204462851497105
nst_oi_scf_pct_all_neg,0.1002208107893563
nst_oi_mdcf_pct_all_neg,0.0970982203566106
nst_iff_per_60_all_situations,0.09694361219635927
nst_oi_xgf_pct_all_neg,0.09480214522280446
nst_oi_hdcf_pct_all_neg,0.08474531291240985
hits,-0.07196308434836736
nst_faceoffs_lost_all_situations,-0.06531583484335106
nst_oi_ff_pct_all,-0.05857555840670518
nst_oi_sf_pct_all,-0.05731096356056379
nst_oi_gf_pct_all_neg,0.05647715840208877
nst_oi_cf_pct_all,-0.05579725770093101
ev_faceoff_pct,-0.054115571693138756
nst_oi_xgf_pct_all,-0.043298071034415665
nst_s_per_60_all_situations,0.043254560905722286
total_fol,0.04018241993175211
nst_oi_off_zone_start_pct_all,0.0396331262654445
sh_shooting_pct,-0.03665905997962402
nst_oi_scf_pct_all,-0.03612792758230707
nst_oi_hdcf_pct_all,-0.03520016018752442
nst_faceoffs_won_all_situations,-0.034514179320454835
nst_oi_mdcf_pct_all,-0.03156474643172822
nst_hits_taken_all_situations,0.03107806014114266
nst_oi_mdgf_pct_all,0.030696580233727504
nst_oi_hdgf_pct_all_neg,0.02227789480698907
nst_oi_hdgf_pct_all,0.02216939890599334
nst_oi_shooting_pct_all,-0.012612547427983341
sh_g_per_60,-0.0022329653078565
nst_oi_gf_pct_all,-0.0012360090035676502
nst_oi_mdgf_pct_all_neg,0.0001015192634151459
