metric,mean_z_diff
is_top5,4.479469308925336
toi_pp,1.9461109679072839
es_goals_for,1.8919824401849168
pp_toi_pct_of_team,1.8460557780721654
shots_all_situations,1.7807398898961757
avg_toi_per_game_all_situations,1.7294791071899323
avg_es_toi_per_game,1.5974771393723415
missed_shots,1.5881726097460267
giveaways,1.5367017951681905
takeaways,1.5072793959045299
avg_toi_per_shift,1.4743026146578702
es_goals_against,1.3472128953972269
toi_all_situations,1.3243266217120182
plus_minus,1.220278375875441
toi_ev,1.2113802209272966
toi_es,1.2113802209272966
penalties_drawn,1.1581691537657341
toi_5v5,1.1414254557633268
shifts,1.0746871339881627
total_fow,0.953819518074572
total_faceoffs,0.9250864942823958
total_fol,0.8822554321863278
pp_gf_per_60,0.8533145282501995
nst_oi_gf_5v5,0.8255296022737654
nst_oi_hdgf_5v5,0.820266706246765
games_played,0.7559891433852759
pp_s_per_60,0.7269895455119666
nst_oi_xgf_5v5,0.711579986287104
nst_oi_hdcf_5v5,0.6727400927655921
nst_oi_scf_5v5,0.662729436778155
nst_oi_off_zone_starts_5v5,0.6626931318747262
es_gf_pct,0.6266587983151681
blocked_shots,0.6140492870842756
nst_oi_sf_5v5,0.6139642637323172
nst_icf_all_situations,0.6094885285432345
nst_rebounds_created_all_situations,0.6086460476639045
pp_shooting_pct,0.6027774656887703
es_gf_pct_neg,-0.6007244295780758
nst_oi_ff_5v5,0.5986528982087175
nst_iscfs_all_situations,0.5879098595718943
nst_iff_all_situations,0.583294087838856
nst_ixg_all_situations,0.582962267496953
nst_oi_cf_5v5,0.582827439780652
nst_oi_scf_pct_all_pos,0.5510965577013759
shooting_pct_all_situations,0.5490639164104806
d_zone_fo_pct,0.5283444642334194
o_zone_fo_pct,0.5177834128689874
penalties,0.5095162060731848
nst_oi_cf_pct_all_pos,0.47177552620701346
n_zone_fo_pct,0.4713085294748177
nst_oi_ff_pct_all_pos,0.4658359082823026
nst_toi_all_situations,0.4495613254189095
nst_oi_xga_5v5,0.44556433892653025
nst_oi_xgf_pct_all_pos,0.4306068158312285
nst_oi_mdcf_pct_all_pos,0.428691334024151
nst_oi_sf_pct_all_pos,0.42740649404916314
nst_oi_ga_5v5,0.4267816306511285
nst_oi_gf_pct_all_pos,0.42322475536001974
nst_hdcf_all_situations,0.4155020874754407
nst_penalties_drawn_all_situations,0.4120078451400368
nst_rush_attempts_all_situations,0.4090520261616617
sh_shooting_pct,0.4060476326806049
nst_oi_sa_5v5,0.4051467415806886
nst_faceoffs_won_all_situations,0.3961557433325471
nst_oi_hdcf_pct_all_pos,0.39064364400464685
nst_oi_fa_5v5,0.38856977517095154
nst_oi_hdga_5v5,0.3849917181008291
nst_faceoffs_lost_all_situations,0.38255926503542353
nst_oi_sca_5v5,0.37731303938806027
nst_oi_hdca_5v5,0.3716136350118828
nst_oi_ca_5v5,0.3681573590804515
es_gf_pct_pos,0.35373302989573957
nst_oi_neu_zone_starts_5v5,0.3509125553976901
penalty_minutes,0.34351939180317187
ev_faceoff_pct,0.32105421121111255
fow_pct_all_situations,0.31700219736129054
nst_oi_mdgf_pct_all_pos,0.29865183920381394
nst_oi_hdgf_pct_all_pos,0.2751305109327909
nst_hits_taken_all_situations,0.1964975769280951
nst_oi_mdgf_pct_all,0.18636134814788152
nst_oi_def_zone_starts_5v5,0.16392893566339578
nst_oi_shooting_pct_all,0.1626339898185599
nst_oi_mdgf_pct_all_neg,-0.1287068983760486
nst_oi_gf_pct_all,0.1276384174721773
nst_oi_hdgf_pct_all,0.12666441051333166
toi_sh,0.1061011030936904
nst_ipp_all,0.10351476954964135
nst_oi_off_zone_start_pct_all,0.09553397080261362
nst_oi_save_pct_all,-0.08944702085759826
nst_oi_hdgf_pct_all_neg,-0.061498570398253245
nst_oi_pdo_all,-0.061218395788444506
nst_oi_scf_pct_all,0.052812626759025864
nst_oi_hdcf_pct_all,0.05273550277907028
nst_oi_mdcf_pct_all,0.05049743177192388
nst_oi_xgf_pct_all,0.042043083150916254
nst_oi_gf_pct_all_neg,-0.04105604609544675
nst_oi_cf_pct_all_neg,0.039741867106172314
nst_oi_ff_pct_all_neg,0.0381172066543615
nst_oi_sf_pct_all_neg,0.03634795809727097
hits,-0.03481288863143793
nst_hdcf_per_60_all_situations,-0.028222575296374723
nst_oi_scf_pct_all_neg,0.025721186850396243
nst_oi_xgf_pct_all_neg,0.024001993747642565
nst_s_per_60_all_situations,-0.02194368889512128
nst_oi_ff_pct_all,0.020959700988606403
nst_oi_cf_pct_all,0.020742504601814375
nst_oi_hdcf_pct_all_neg,0.020360719828913906
nst_oi_mdcf_pct_all_neg,0.020332016229802338
nst_oi_sf_pct_all,0.020005204748319443
sh_g_per_60,0.015107130822135096
nst_ixg_per_60_all_situations,0.012895322469878456
nst_iscfs_per_60_all_situations,0.008480846344505912
nst_icf_per_60_all_situations,0.006288581180123708
nst_iff_per_60_all_situations,-0.004073389523983062
