metric,mean_z_diff
is_top5,4.479469308925336
toi_pp,1.9461109679072839
es_goals_for,1.8919824401849168
shots_all_situations,1.7807398898961757
avg_toi_per_game_all_situations,1.7294791071899323
avg_es_toi_per_game,1.5974771393723415
missed_shots,1.5881726097460267
giveaways,1.5367017951681905
takeaways,1.5072793959045299
avg_toi_per_shift,1.4743026146578702
es_goals_against,1.3472128953972269
toi_all_situations,1.3243266217120182
plus_minus,1.220278375875441
toi_ev,1.2113802209272966
toi_es,1.2113802209272966
penalties_drawn,1.1581691537657341
toi_5v5,1.1414254557633268
shifts,1.0746871339881627
total_fow,0.953819518074572
total_faceoffs,0.9250864942823958
total_fol,0.8822554321863278
nst_oi_gf_5v5,0.8255296022737654
nst_oi_hdgf_5v5,0.820266706246765
games_played,0.7559891433852759
nst_oi_xgf_5v5,0.711579986287104
nst_oi_hdcf_5v5,0.6727400927655921
nst_oi_scf_5v5,0.662729436778155
nst_oi_off_zone_starts_5v5,0.6626931318747262
blocked_shots,0.6140492870842756
nst_oi_sf_5v5,0.6139642637323172
nst_icf_all_situations,0.6094885285432345
nst_rebounds_created_all_situations,0.6086460476639045
nst_oi_ff_5v5,0.5986528982087175
nst_iscfs_all_situations,0.5879098595718943
nst_iff_all_situations,0.583294087838856
nst_ixg_all_situations,0.582962267496953
nst_oi_cf_5v5,0.582827439780652
penalties,0.5095162060731848
nst_toi_all_situations,0.4495613254189095
nst_oi_xga_5v5,0.44556433892653025
nst_oi_ga_5v5,0.4267816306511285
nst_hdcf_all_situations,0.4155020874754407
nst_penalties_drawn_all_situations,0.4120078451400368
nst_rush_attempts_all_situations,0.4090520261616617
nst_oi_sa_5v5,0.4051467415806886
nst_faceoffs_won_all_situations,0.3961557433325471
nst_oi_fa_5v5,0.38856977517095154
nst_oi_hdga_5v5,0.3849917181008291
nst_faceoffs_lost_all_situations,0.38255926503542353
nst_oi_sca_5v5,0.37731303938806027
nst_oi_hdca_5v5,0.3716136350118828
nst_oi_ca_5v5,0.3681573590804515
nst_oi_neu_zone_starts_5v5,0.3509125553976901
penalty_minutes,0.34351939180317187
nst_hits_taken_all_situations,0.1964975769280951
nst_oi_def_zone_starts_5v5,0.16392893566339578
toi_sh,0.1061011030936904
nst_ipp_all,0.10351476954964135
nst_oi_pdo_all,-0.061218395788444506
hits,-0.03481288863143793
